urls,problem_texts,constraints,input_texts,output_texts,tag
https://atcoder.jp/contests/abc189/tasks/abc189_a,"
Problem StatementYou are playing the slots.
The result of a spin is represented by three uppercase English letters C_1, C_2, and C_3. It is considered a win when all of them are the same letter.
Determine whether it is a win.
","
Constraints
C_i is an uppercase English letter.

","
InputInput is given from Standard Input in the following format:
C_1 C_2 C_3

","
OutputIf the result is a win, print Won; otherwise, print Lost.
",Easy
https://atcoder.jp/contests/abc182/tasks/abc182_a,"
Problem StatementYou are on a social networking site called twiblr.
In twiblr, you can follow at most 2\,\times\,( the number of users following you )\,+\,100 users.
You are currently following B users, and A users are following you.
At most, how many extra users can you follow now?  
","
Constraints
0 \le A, B \le 10000
B \le 2 \times A + 100
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the maximum number of extra users you can follow now.
",Easy
https://atcoder.jp/contests/abc170/tasks/abc170_a,"
Problem StatementWe have five variables x_1, x_2, x_3, x_4, and x_5.
The variable x_i was initially assigned a value of i.
Snuke chose one of these variables and assigned it 0.
You are given the values of the five variables after this assignment.
Find out which variable Snuke assigned 0.
","
Constraints
The values of x_1, x_2, x_3, x_4, and x_5 given as input are a possible outcome of the assignment by Snuke.

","
InputInput is given from Standard Input in the following format:
x_1 x_2 x_3 x_4 x_5

","
OutputIf the variable Snuke assigned 0 was x_i, print the integer i.
",Easy
https://atcoder.jp/contests/abc166/tasks/abc166_a,"
Problem StatementAtCoder Inc. holds a contest every Saturday.
There are two types of contests called ABC and ARC, and just one of them is held at a time.
The company holds these two types of contests alternately: an ARC follows an ABC and vice versa.
Given a string S representing the type of the contest held last week, print the string representing the type of the contest held this week.
","
Constraints
S is ABC or ARC.

","
InputInput is given from Standard Input in the following format:
S

","
OutputPrint the string representing the type of the contest held this week.
",Easy
https://atcoder.jp/contests/abc193/tasks/abc193_a,"
Problem StatementA shop sells a product whose regular price is A yen (Japanese currency) for B yen. By what percentage of the regular price is this product discounted?
","
Constraints
A and B are integers.
1 ≤ B < A ≤ 10^5

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the answer as a decimal.
Your answer will be judged as correct when its absolute or relative error from our answer is at most 10^{-2}.
",Easy
https://atcoder.jp/contests/abc152/tasks/abc152_a,"
Problem Statement
Takahashi is participating in a programming contest, AXC001. He has just submitted his code to Problem A.
The problem has N test cases, all of which must be passed to get an AC verdict.
Takahashi's submission has passed M cases out of the N test cases.
Determine whether Takahashi's submission gets an AC.
","
Constraints

1 \leq N \leq 100
0 \leq M \leq N
All values in input are integers.

","
Input
Input is given from Standard Input in the following format:
N M

","
Output
If Takahashi's submission gets an AC, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/abc171/tasks/abc171_a,"
Problem StatementAn uppercase or lowercase English letter \alpha will be given as input.
If \alpha is uppercase, print A; if it is lowercase, print a.
","
Constraints
\alpha is an uppercase (A - Z) or lowercase (a - z) English letter.

","
InputInput is given from Standard Input in the following format:
α

","
OutputIf \alpha is uppercase, print A; if it is lowercase, print a.
",Easy
https://atcoder.jp/contests/abc161/tasks/abc161_a,"
Problem Statement
We have three boxes A, B, and C, each of which contains an integer.
Currently, the boxes A, B, and C contain the integers X, Y, and Z, respectively.
We will now do the operations below in order. Find the content of each box afterward.  

Swap the contents of the boxes A and B
Swap the contents of the boxes A and C

","
Constraints

1 \leq X,Y,Z \leq 100
All values in input are integers.

","
Input
Input is given from Standard Input in the following format:
X Y Z

","
Output
Print the integers contained in the boxes A, B, and C, in this order, with space in between.
",Easy
https://atcoder.jp/contests/abl/tasks/abl_a,"
Problem StatementYou are given an integer K.
Print the string obtained by repeating the string ACL K times and concatenating them.
For example, if K = 3, print ACLACLACL.
","
Constraints
1 \leq K \leq 5
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
K

","
OutputPrint the string obtained by repeating the string ACL K times and concatenating them.
",Easy
https://atcoder.jp/contests/m-solutions2020/tasks/m_solutions2020_a,"
Problem Statement
M-kun is a competitor in AtCoder, whose highest rating is X.
In this site, a competitor is given a kyu (class) according to his/her highest rating. For ratings from 400 through 1999, the following kyus are given:

From 400 through 599: 8-kyu
From 600 through 799: 7-kyu
From 800 through 999: 6-kyu
From 1000 through 1199: 5-kyu
From 1200 through 1399: 4-kyu
From 1400 through 1599: 3-kyu
From 1600 through 1799: 2-kyu
From 1800 through 1999: 1-kyu

What kyu does M-kun have?
","
Constraints

400 \leq X \leq 1999
X is an integer.

","
Input
Input is given from Standard Input in the following format:
X

","
Output
Print the kyu M-kun has, as an integer.
For example, if he has 8-kyu, print 8.
",Easy
https://atcoder.jp/contests/abc157/tasks/abc157_a,"
Problem StatementTakahashi wants to print a document with N pages double-sided, where two pages of data can be printed on one sheet of paper.
At least how many sheets of paper does he need?
","
Constraints
N is an integer.
1 \leq N \leq 100

","
InputInput is given from Standard Input in the following format:
N

","
OutputPrint the answer.
",Easy
https://atcoder.jp/contests/abc134/tasks/abc134_a,"
Problem StatementIt is known that the area of a regular dodecagon inscribed in a circle of radius a is 3a^2.
Given an integer r, find the area of a regular dodecagon inscribed in a circle of radius r.
","
Constraints
1 \leq r \leq 100
r is an integer.

","
InputInput is given from Standard Input in the following format:
r

","
OutputPrint an integer representing the area of the regular dodecagon.
",Easy
https://atcoder.jp/contests/abc148/tasks/abc148_a,"
Problem Statement
Takahashi is solving quizzes. He has easily solved all but the last one.
The last quiz has three choices: 1, 2, and 3.
With his supernatural power, Takahashi has found out that the choices A and B are both wrong.
Print the correct choice for this problem.
","
Constraints

Each of the numbers A and B is 1, 2, or 3.
A and B are different.

","
Input
Input is given from Standard Input in the following format:
A
B

","
Output
Print the correct choice.
",Easy
https://atcoder.jp/contests/abc116/tasks/abc116_a,"
Problem StatementThere is a right triangle ABC with ∠ABC=90°.
Given the lengths of the three sides, |AB|,|BC| and |CA|, find the area of the right triangle ABC.
It is guaranteed that the area of the triangle ABC is an integer.
","
Constraints
1 \leq |AB|,|BC|,|CA| \leq 100
All values in input are integers.
The area of the triangle ABC is an integer.

","
InputInput is given from Standard Input in the following format:
|AB| |BC| |CA|

","
OutputPrint the area of the triangle ABC.
",Easy
https://atcoder.jp/contests/abc074/tasks/abc074_a,"
Problem StatementWe have an N \times N square grid.
We will paint each square in the grid either black or white.
If we paint exactly A squares white, how many squares will be painted black?
","
Constraints
1 \leq N \leq 100
0 \leq A \leq N^2

","
InputsInput is given from Standard Input in the following format:
N
A

","
OutputsPrint the number of squares that will be painted black.
",Easy
https://atcoder.jp/contests/abc124/tasks/abc124_a,"
Problem StatementThere are two buttons, one of size A and one of size B.
When you press a button of size X, you get X coins and the size of that button decreases by 1.
You will press a button twice. Here, you can press the same button twice, or press both buttons once.
At most how many coins can you get?
","
Constraints
All values in input are integers.
3 \leq A, B \leq 20

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the maximum number of coins you can get.
",Easy
https://atcoder.jp/contests/abc133/tasks/abc133_a,"
Problem StatementN of us are going on a trip, by train or taxi.
The train will cost each of us A yen (the currency of Japan).
The taxi will cost us a total of B yen.
How much is our minimum total travel expense?
","
Constraints
All values in input are integers.
1 \leq N \leq 20
1 \leq A \leq 50
1 \leq B \leq 50

","
InputInput is given from Standard Input in the following format:
N A B

","
OutputPrint an integer representing the minimum total travel expense.
",Easy
https://atcoder.jp/contests/aising2020/tasks/aising2020_a,"
Problem StatementHow many multiples of d are there among the integers between L and R (inclusive)?
","
Constraints
All values in input are integers.
1 \leq L \leq R \leq 100
1 \leq d \leq 100

","
InputInput is given from Standard Input in the following format:
L R d

","
OutputPrint the number of multiples of d among the integers between L and R (inclusive).
",Easy
https://atcoder.jp/contests/abc173/tasks/abc173_a,"
Problem StatementWe will buy a product for N yen (the currency of Japan) at a shop.
If we use only 1000-yen bills to pay the price, how much change will we receive?
Assume we use the minimum number of bills required.
","
Constraints
1 \leq N \leq 10000
N is an integer.

","
InputInput is given from Standard Input in the following format:
N

","
OutputPrint the amount of change as an integer.
",Easy
https://atcoder.jp/contests/abc128/tasks/abc128_a,"
Problem StatementWe have A apples and P pieces of apple.
We can cut an apple into three pieces of apple, and make one apple pie by simmering two pieces of apple in a pan.
Find the maximum number of apple pies we can make with what we have now.
","
Constraints
All values in input are integers.
0 \leq A, P \leq 100

","
InputInput is given from Standard Input in the following format:
A P

","
OutputPrint the maximum number of apple pies we can make with what we have.
",Easy
https://atcoder.jp/contests/abc145/tasks/abc145_a,"
Problem StatementGiven is an integer r.
How many times is the area of a circle of radius r larger than the area of a circle of radius 1?
It can be proved that the answer is always an integer under the constraints given.
","
Constraints
1 \leq r \leq 100
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
r

","
OutputPrint the area of a circle of radius r, divided by the area of a circle of radius 1, as an integer.
",Easy
https://atcoder.jp/contests/abc168/tasks/abc168_a,"
Problem Statement
The cat Snuke wants to play a popular Japanese game called ÅtCoder, so Iroha has decided to teach him Japanese.
When counting pencils in Japanese, the counter word ""本"" follows the number. The pronunciation of this word varies depending on the number. Specifically, the pronunciation of ""本"" in the phrase ""N 本"" for a positive integer N not exceeding 999 is as follows:

hon when the digit in the one's place of N is 2, 4, 5, 7, or 9;
pon when the digit in the one's place of N is 0, 1, 6 or 8;
bon when the digit in the one's place of N is 3.

Given N, print the pronunciation of ""本"" in the phrase ""N 本"".
","
Constraints

N is a positive integer not exceeding 999.

","
Input
Input is given from Standard Input in the following format:
N

","
Output
Print the answer.
",Easy
https://atcoder.jp/contests/abc160/tasks/abc160_a,"
Problem StatementA string of length 6 consisting of lowercase English letters is said to be coffee-like if and only if its 3-rd and 4-th characters are equal and its 5-th and 6-th characters are also equal.
Given a string S, determine whether it is coffee-like.
","
Constraints
S is a string of length 6 consisting of lowercase English letters.

","
InputInput is given from Standard Input in the following format:
S

","
OutputIf S is coffee-like, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/abc083/tasks/abc083_a,"
Problem StatementA balance scale tips to the left if L>R, where L is the total weight of the masses on the left pan and R is the total weight of the masses on the right pan. Similarly, it balances if L=R, and tips to the right if L<R.
Takahashi placed a mass of weight A and a mass of weight B on the left pan of a balance scale, and placed a mass of weight C and a mass of weight D on the right pan.
Print Left if the balance scale tips to the left; print Balanced if it balances; print Right if it tips to the right.
","
Constraints
1\leq A,B,C,D \leq 10
All input values are integers.

","
InputInput is given from Standard Input in the following format:
A B C D

","
OutputPrint Left if the balance scale tips to the left; print Balanced if it balances; print Right if it tips to the right.
",Easy
https://atcoder.jp/contests/abc130/tasks/abc130_a,"
Problem StatementX and A are integers between 0 and 9 (inclusive).
If X is less than A, print 0; if X is not less than A, print 10.
","
Constraints
0 \leq X, A \leq 9
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
X A

","
OutputIf X is less than A, print 0; if X is not less than A, print 10.
",Easy
https://atcoder.jp/contests/arc104/tasks/arc104_a,"
Problem StatementTakahashi has two integers X and Y.
He computed X + Y and X - Y, and the results were A and B, respectively.
Now he cannot remember what X and Y were. Find X and Y for him.
","
Constraints
-100 \leq A, B \leq 100
For the given integers A and B, there uniquely exist integers X and Y such that X + Y = A and X - Y = B.
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint X and Y.
",Easy
https://atcoder.jp/contests/abc084/tasks/abc084_a,"
Problem StatementHow many hours do we have until New Year at M o'clock (24-hour notation) on 30th, December?
","
Constraints
1≤M≤23
M is an integer.

","
InputInput is given from Standard Input in the following format:
M

","
OutputIf we have x hours until New Year at M o'clock on 30th, December, print x.
",Easy
https://atcoder.jp/contests/abc147/tasks/abc147_a,"
Problem StatementGiven are three integers A_1, A_2, and A_3.
If A_1+A_2+A_3 is greater than or equal to 22, print bust; otherwise, print win.
","
Constraints
1 \leq A_i \leq 13 \ \ (i=1,2,3)
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A_1 A_2 A_3

","
OutputIf A_1+A_2+A_3 is greater than or equal to 22, print bust; otherwise, print win.
",Easy
https://atcoder.jp/contests/abc151/tasks/abc151_a,"
Problem StatementGiven is a lowercase English letter C that is not z. Print the letter that follows C in alphabetical order.
","
Constraints
C is a lowercase English letter that is not z.

","
InputInput is given from Standard Input in the following format:
C

","
OutputPrint the letter that follows C in alphabetical order.
",Easy
https://atcoder.jp/contests/abc140/tasks/abc140_a,"
Problem StatementTakahashi is going to set a 3-character password.
How many possible passwords are there if each of its characters must be a digit between 1 and N (inclusive)?
","
Constraints
1 \leq N \leq 9
N is an integer.

","
InputInput is given from Standard Input in the following format:
N

","
OutputPrint the number of possible passwords.
",Easy
https://atcoder.jp/contests/abc190/tasks/abc190_a,"
Problem StatementTakahashi and Aoki will play a game against each other.
Initially, Takahashi and Aoki have A and B candies, respectively.
They will alternately do the operation below. Takahashi goes first if C=0, and Aoki goes first if C=1.

Eat one of the candies he has.

The person who first becomes unable to do the operation loses. Which person will win?
","
Constraints
All values in input are integers.
0 ≤ A, B ≤ 100
C \in \{0, 1\}

","
InputInput is given from Standard Input in the following format:
A B C

","
OutputIf Takahashi will win, print Takahashi; if Aoki will win, print Aoki.
",Easy
https://atcoder.jp/contests/abc155/tasks/abc155_a,"
Problem Statement
A triple of numbers is said to be poor when two of those numbers are equal but the other number is different from those two numbers.
You will be given three integers A, B, and C. If this triple is poor, print Yes; otherwise, print No.
","
Constraints

A, B, and C are all integers between 1 and 9 (inclusive).

","
Input
Input is given from Standard Input in the following format:
A B C

","
Output
If the given triple is poor, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/tokiomarine2020/tasks/tokiomarine2020_a,"
Problem StatementWhen you asked some guy in your class his name, he called himself S, where S is a string of length between 3 and 20 (inclusive) consisting of lowercase English letters.
You have decided to choose some three consecutive characters from S and make it his nickname. Print a string that is a valid nickname for him.
","
Constraints
3 \leq |S| \leq 20
S consists of lowercase English letters.

","
InputInput is given from Standard Input in the following format:
S

","
OutputPrint your answer.
",Easy
https://atcoder.jp/contests/abc153/tasks/abc153_a,"
Problem StatementServal is fighting with a monster.
The health of the monster is H.
In one attack, Serval can decrease the monster's health by A.
There is no other way to decrease the monster's health.
Serval wins when the monster's health becomes 0 or below.
Find the number of attacks Serval needs to make before winning.
","
Constraints
1 \leq H \leq 10^4
1 \leq A \leq 10^4
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
H A

","
OutputPrint the number of attacks Serval needs to make before winning.
",Easy
https://atcoder.jp/contests/abc117/tasks/abc117_a,"
Problem StatementIn order to pass the entrance examination tomorrow, Taro has to study for T more hours.
Fortunately, he can leap to World B where time passes X times as fast as it does in our world (World A).
While (X \times t) hours pass in World B, t hours pass in World A.
How many hours will pass in World A while Taro studies for T hours in World B?
","
Constraints
All values in input are integers.
1 \leq T \leq 100
1 \leq X \leq 100

","
InputInput is given from Standard Input in the following format:
T X

","
OutputPrint the number of hours that will pass in World A.
The output will be regarded as correct when its absolute or relative error from the judge's output is at most 10^{-3}.
",Easy
https://atcoder.jp/contests/hhkb2020/tasks/hhkb2020_a,"
Problem StatementGiven are a character S, which is Y or N, and another character T, which is A, B, or C.
If S is Y, print T uppercased.
If S is N, print T as it is.
","
Constraints
S is Y or N.
T is a, b, or c.

","
InputInput is given from Standard Input in the following format:
S
T

","
OutputPrint a character as specified in the problem statement.
",Easy
https://atcoder.jp/contests/abc154/tasks/abc154_a,"
Problem Statement
We have A balls with the string S written on each of them and B balls with the string T written on each of them.
From these balls, Takahashi chooses one with the string U written on it and throws it away.
Find the number of balls with the string S and balls with the string T that we have now.
","
Constraints

S, T, and U are strings consisting of lowercase English letters.
The lengths of S and T are each between 1 and 10 (inclusive).
S \not= T
S=U or T=U.
1 \leq A,B \leq 10
A and B are integers.

","
Input
Input is given from Standard Input in the following format:
S T
A B
U

","
Output
Print the answer, with space in between.
",Easy
https://atcoder.jp/contests/abc120/tasks/abc120_a,"
Problem StatementTakahashi likes the sound when he buys a drink from a vending machine.
That sound can be heard by spending A yen (the currency of Japan) each time.
Takahashi has B yen. He will hear the sound as many times as he can with that money, but at most C times, as he would be satisfied at that time.
How many times will he hear the sound?
","
Constraints
All values in input are integers.
1 \leq A, B, C \leq 100

","
InputInput is given from Standard Input in the following format:
A B C

","
OutputPrint the number of times Takahashi will hear his favorite sound.
",Easy
https://atcoder.jp/contests/abc179/tasks/abc179_a,"
Problem StatementIn the Kingdom of AtCoder, people use a language called Taknese, which uses lowercase English letters.
In Taknese, the plural form of a noun is spelled based on the following rules:

If a noun's singular form does not end with s, append s to the end of the singular form.
If a noun's singular form ends with s, append es to the end of the singular form.

You are given the singular form S of a Taknese noun. Output its plural form.
","
Constraints
S is a string of length 1 between 1000, inclusive.
S contains only lowercase English letters.

","
InputInput is given from Standard Input in the following format:
S

","
OutputPrint the plural form of the given Taknese word.
",Easy
https://atcoder.jp/contests/abc154/tasks/abc154_b,"
Problem Statement
Given is a string S. Replace every character in S with x and print the result.
","
Constraints

S is a string consisting of lowercase English letters.
The length of S is between 1 and 100 (inclusive).

","
Input
Input is given from Standard Input in the following format:
S

","
Output
Replace every character in S with x and print the result.
",Easy
https://atcoder.jp/contests/abc144/tasks/abc144_a,"
Problem StatementHaving learned the multiplication table, Takahashi can multiply two integers between 1 and 9 (inclusive) together. He cannot do any other calculation.
Given are two integers A and B.
If Takahashi can calculate A \times B, print the result; if he cannot, print -1 instead.
","
Constraints
1 \leq A \leq 20
1 \leq B \leq 20
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputIf Takahashi can calculate A \times B, print the result; if he cannot, print -1.
",Easy
https://atcoder.jp/contests/abc188/tasks/abc188_b,"
Problem StatementGiven are two N-dimensional vectors A = (A_1, A_2, A_3, \dots, A_N) and B = (B_1, B_2, B_3, \dots, B_N).
Determine whether the inner product of A and B is 0.
In other words, determine whether A_1B_1 + A_2B_2 + A_3B_3 + \dots + A_NB_N = 0.
","
Constraints
1 \le N \le 100000
-100 \le A_i \le 100
-100 \le B_i \le 100
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
N
A_1 A_2 A_3 \dots A_N
B_1 B_2 B_3 \dots B_N

","
OutputIf the inner product of A and B is 0, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/abc107/tasks/abc107_a,"
Problem StatementThere is an N-car train.
You are given an integer i. Find the value of j such that the following statement is true: ""the i-th car from the front of the train is the j-th car from the back.""
","
Constraints
1 \leq N \leq 100
1 \leq i \leq N

","
InputInput is given from Standard Input in the following format:
N i

","
OutputPrint the answer.
",Easy
https://atcoder.jp/contests/abc127/tasks/abc127_a,"
Problem StatementTakahashi, who is A years old, is riding a Ferris wheel.
It costs B yen (B is an even number) to ride the Ferris wheel if you are 13 years old or older, but children between 6 and 12 years old (inclusive) can ride it for half the cost, and children who are 5 years old or younger are free of charge. (Yen is the currency of Japan.)
Find the cost of the Ferris wheel for Takahashi.
","
Constraints
0 ≤ A ≤ 100
2 ≤ B ≤ 1000
B is an even number.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the cost of the Ferris wheel for Takahashi.
",Easy
https://atcoder.jp/contests/abc113/tasks/abc113_a,"
Problem StatementThere is a train going from Station A to Station B that costs X yen (the currency of Japan).
Also, there is a bus going from Station B to Station C that costs Y yen.
Joisino got a special ticket. With this ticket, she can take the bus for half the fare if she travels from Station A to Station B by train and then travels from Station B to Station C by bus.
How much does it cost to travel from Station A to Station C if she uses this ticket?
","
Constraints
1 \leq X,Y \leq 100
Y is an even number.
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
X Y

","
OutputIf it costs x yen to travel from Station A to Station C, print x.
",Easy
https://atcoder.jp/contests/abc143/tasks/abc143_a,"
Problem StatementThe window of Takahashi's room has a width of A. There are two curtains hung over the window, each of which has a horizontal length of B. (Vertically, the curtains are long enough to cover the whole window.)
We will close the window so as to minimize the total horizontal length of the uncovered part of the window.
Find the total horizontal length of the uncovered parts of the window then.
","
Constraints
1 \leq A \leq 100
1 \leq B \leq 100
A and B are integers.

","
InputInput is given from Standard Input in the following format:
A B

","
OutputPrint the total horizontal length of the uncovered parts of the window.
",Easy
https://atcoder.jp/contests/abc158/tasks/abc158_a,"
Problem StatementIn AtCoder City, there are three stations numbered 1, 2, and 3.
Each of these stations is operated by one of the two railway companies, A and B. A string S of length 3 represents which company operates each station. If S_i is A, Company A operates Station i; if S_i is B, Company B operates Station i.
To improve the transportation condition, for each pair of a station operated by Company A and one operated by Company B, there will be a bus service connecting them.
Determine if there is a pair of stations that will be connected by a bus service.
","
Constraints
Each character of S is A or B.
|S| = 3

","
InputInput is given from Standard Input in the following format:
S

","
OutputIf there is a pair of stations that will be connected by a bus service, print Yes; otherwise, print No.
",Easy
https://atcoder.jp/contests/abc141/tasks/abc141_a,"
Problem Statement
The weather in Takahashi's town changes day by day, in the following cycle: Sunny, Cloudy, Rainy, Sunny, Cloudy, Rainy, ...
Given is a string S representing the weather in the town today. Predict the weather tomorrow.
","
Constraints

S is Sunny, Cloudy, or Rainy.

","
Input
Input is given from Standard Input in the following format:
S

","
Output
Print a string representing the expected weather tomorrow, in the same format in which input is given.
",Easy
https://atcoder.jp/contests/panasonic2020/tasks/panasonic2020_a,"
Problem StatementPrint the K-th element of the following sequence of length 32:
1, 1, 1, 2, 1, 2, 1, 5, 2, 2, 1, 5, 1, 2, 1, 14, 1, 5, 1, 5, 2, 2, 1, 15, 2, 2, 5, 4, 1, 4, 1, 51

","
Constraints
1 \leq K \leq 32
All values in input are integers.

","
InputInput is given from Standard Input in the following format:
K

","
OutputPrint the K-th element.
",Easy
